165 

*First pair
1	32
3	0.5
0	0.5
0	0.5
1	0.5
3	0.5

2	1
0	0.5
2	0.5
3	0.5
0	0.25
3	0.25
3	0.5
1	0.5

1	1
3	0.5
0	0.5
0	0.5
1	0.5
3	0.5
2	0.5
3	0.5
1	0.5
3	0.5
2	0.5
1	0.5
3	0.5
1	0.5



1	1
3	0.5
0	0.5
0	0.5
1	0.5
3	0.5

2	1
0	0.5
2	0.5
3	0.5
0	0.25
3	0.25
3	0.5
1	0.5

1	1
3	0.5
0	0.5
0	0.5
1	0.5
3	0.5
2	0.5
3	0.5
1	0.5
3	0.5
2	0.5
1	0.5
3	0.5
1	0.5

*Second Pair

2	1
3	0.5
3	0.5
2	0.5
0	0.5
3	0.5
1	0.5
3	0.5
1	0.5
0	0.5
1	0.5
2	0.5
3	0.5
0	0.5
1	0.5

2	1
3	0.5
3	0.5
1	0.5
0	0.5
3	0.5
1	0.5
3	0.5
0	0.5
1	0.5
1	0.5
3	0.5
2	0.5
0	0.5
1	0.5



2	1
3	0.5
3	0.5
2	0.5
0	0.5
3	0.5
1	0.5
3	0.5
1	0.5
0	0.5
1	0.5
2	0.5
3	0.5
0	0.5
1	0.5

2	1
3	0.5
3	0.5
1	0.5
0	0.5
3	0.5
1	0.5
3	0.5
0	0.5
1	0.5
1	0.5
3	0.5
2	0.5
0	0.5
1	0.5

*Rising Action

0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5




0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5


*Climax
0	0.5
0	0.5
3	0.5
1	0.5
3	0.25
1	0.25
0	0.5
1	0.5
0	0.5
2	0.5
2	0.5
3	0.5
2	0.5
1	0.5
0	0.5
1	0.25
0	0.25
0	0.5
3	0.5
3	0.5
3	0.5
2	0.5
0	0.25
2	0.25
3	0.25
0	0.25
0	0.5
0	0.5
0	0.5
0	0.5
3	0.5
3	0.5
2	0.5
0	0.5
2	0.5
3	0.5

0	0.5
0	0.5
3	0.5
1	0.5
3	0.25
1	0.25
0	0.5
1	0.5
0	0.5
2	0.5
2	0.5
3	0.5
2	0.5
1	0.5
0	0.5
1	0.25
0	0.25
0	0.5
3	0.5
3	0.5
3	0.5
2	0.5
0	0.25
2	0.25
3	0.25
0	0.25
0	0.5
0	0.5
0	0.5
0	0.5
3	0.5
3	0.5
2	0.5
0	0.5
2	0.5
3	0.5

0	0.5
0	0.5
3	0.5
1	0.5
3	0.25
1	0.25
0	0.5
1	0.5
0	0.5
2	0.5
2	0.5
3	0.5
2	0.5
1	0.5
0	0.5
1	0.25
0	0.25
0	0.5
3	0.5
3	0.5
3	0.5
2	0.5
0	0.25
2	0.25
3	0.25
0	0.25
0	0.5
0	0.5
0	0.5
0	0.5
3	0.5
3	0.5
2	0.5
0	0.5
2	0.5
3	0.5

0	0.5
0	0.5
3	0.5
1	0.5
3	0.25
1	0.25
0	0.5
1	0.5
0	0.5
2	0.5
2	0.5
3	0.5
2	0.5
1	0.5
0	0.5
1	0.25
0	0.25
0	0.5
3	0.5
3	0.5
3	0.5
2	0.5
0	0.25
2	0.25
3	0.25
0	0.25
0	0.5
0	0.5
0	0.5
0	0.5
3	0.5
3	0.5
2	0.5
0	0.5
2	0.5
3	0.5

*End part

0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5




0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5





0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5




0	1
2	0.5
3	1
3	0.5
1	0.5
2	1
3	1
2	1
0	1
3	0.5

0	1
2	0.5
3	1
3	0.5
1	0.5
0	1
1	1
3	1
3	0.25
1	0.25
2	0.5
3	0.5
